Rk,Player,Age,Pos,Tm ,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Corey Tropp,27,RW,ANA,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9,0,2,0,0,
2,Mason Raymond,31,LW,ANA,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,36,9,0,3,0,1,0
3,Jaycob Megna,24,D,ANA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,15,0,0,0,0,
4,Jacob Larsson,19,D,ANA,4,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,66,17,1,1,0,0,
5,Kalle Kossila,23,LW,ANA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,0,1,3,4,42.9
6,Nicolas Kerdiles,23,LW,ANA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,11,2,0,1,0,100
7,Emerson Etem,24,LW,ANA,3,0,0,0,1,2,0,0,0,0,0,0,0,0,,26,9,0,4,0,1,0
8,Simon Despres,25,D,ANA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,1,0,0,
9,Nick Sorensen,22,RW,ANA,5,0,1,1,-1,2,0,0,0,0,1,0,0,7,0,54,11,3,2,1,0,100
10,Nate Thompson,32,C,ANA,30,1,1,2,4,14,1,0,0,0,1,0,0,19,5.3,312,10,9,69,130,115,53.1
11,Jared Boll,30,RW,ANA,51,0,3,3,-3,87,0,0,0,0,3,0,0,13,0,297,6,14,68,0,1,0
12,Clayton Stoner,31,D,ANA,14,1,2,3,0,28,1,0,0,0,2,0,0,16,6.3,246,18,17,35,0,0,
13,Ryan Garbutt,31,LW,ANA,27,2,1,3,-3,20,2,0,0,1,0,0,1,26,7.7,247,9,12,53,7,4,63.6
14,Brandon Montour,22,D,ANA,27,2,4,6,11,14,2,0,0,0,3,1,0,50,4,469,17,24,21,0,0,
15,Korbinian Holzer,28,D,ANA,32,2,5,7,0,23,2,0,0,0,5,0,0,14,14.3,432,14,34,71,0,0,
16,Chris Wagner,25,C,ANA,43,6,1,7,2,6,6,0,0,0,1,0,0,40,15,402,9,24,112,62,86,41.9
17,Shea Theodore,21,D,ANA,34,2,7,9,-6,28,1,1,0,1,5,1,1,60,3.3,589,17,30,14,0,0,
18,Logan Shaw,25,RW,ANA,55,3,7,10,3,10,2,0,1,1,6,0,1,59,5.1,534,10,18,62,55,90,37.9
19,Kevin Bieksa,35,D,ANA,81,3,11,14,0,63,2,1,0,1,9,2,0,94,3.2,1519,19,100,173,0,0,
20,Ondrej Kase,21,RW,ANA,53,5,10,15,-1,18,5,0,0,2,10,0,0,77,6.5,625,12,14,42,1,6,14.3
21,Josh Manson,25,D,ANA,82,5,12,17,14,82,4,0,1,1,11,0,1,88,5.7,1527,19,79,227,0,0,
22,Hampus Lindholm,23,D,ANA,66,6,14,20,13,36,5,1,0,2,10,4,0,94,6.4,1482,22,94,98,2,0,100
23,Sami Vatanen,25,D,ANA,71,3,21,24,3,30,1,2,0,0,9,12,0,117,2.6,1538,22,128,75,0,0,
24,Antoine Vermette,34,C,ANA,72,9,19,28,-7,42,4,5,0,1,13,6,0,88,10.2,1145,16,45,51,744,451,62.3
25,Nick Ritchie,21,LW,ANA,77,14,14,28,4,62,13,1,0,3,13,1,0,149,9.4,1000,13,24,247,4,4,50
26,Andrew Cogliano,29,LW,ANA,82,16,19,35,11,26,13,0,3,2,18,0,1,178,9,1241,15,27,76,8,10,44.4
27,Cam Fowler,25,D,ANA,80,11,28,39,7,20,5,5,1,3,17,10,1,186,5.9,1988,25,134,29,0,0,
28,Jakob Silfverberg,26,RW,ANA,79,23,26,49,10,20,17,5,1,5,22,4,0,227,10.1,1460,18,46,47,1,6,14.3
29,Rickard Rakell,23,C,ANA,71,33,18,51,10,12,28,5,0,10,11,7,0,177,18.6,1234,17,32,81,62,85,42.2
