Rk,Player,Age,Tm ,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Dustin Tokarski,27,ANA,1,0,0,0,0,0,5,5,1,0,0,10,0,,0,,,0,0,0,0
2,John Gibson,23,ANA,52,49,25,16,9,109,1437,1328,0.924,2.22,6,2950,28,0.571,7,88,15.36,0,1,1,4
3,Jonathan Bernier,28,ANA,39,33,21,7,4,83,982,899,0.915,2.5,2,1993,19,0.576,4,98,1.98,0,0,0,4
4,Mike Smith,34,ARI,55,55,19,26,9,156,1819,1663,0.914,2.92,3,3202,27,0.491,7,99,1.42,0,0,0,14
5,Justin Peters,30,ARI,3,1,0,1,0,7,70,63,0.9,3.16,0,133,0,0,0,,,0,0,0,0
6,Marek Langhamer,22,ARI,1,0,0,0,0,1,8,7,0.875,3.75,0,16,0,,0,,,0,0,0,0
7,Louis Domingue,24,ARI,31,26,11,15,1,82,888,806,0.908,3.08,0,1599,12,0.462,4,107,-5.15,0,0,0,0
8,Malcolm Subban,23,BOS,1,1,0,1,0,3,16,13,0.813,5.81,0,31,0,0,1,,,0,0,0,0
9,Tuukka Rask,29,BOS,65,63,37,20,5,137,1610,1473,0.915,2.23,8,3680,31,0.492,14,98,2.33,0,2,2,0
10,Zane McIntyre,24,BOS,8,3,0,4,1,22,155,133,0.858,3.96,0,333,0,0,1,,,0,0,0,0
11,Anton Khudobin,30,BOS,16,14,7,6,1,39,405,366,0.904,2.64,0,885,5,0.357,2,111,-3.95,0,1,1,2
12,Linus Ullmark,23,BUF,1,1,0,1,0,3,36,33,0.917,3.05,0,59,1,1,0,,,0,0,0,0
13,Anders Nilsson,26,BUF,26,23,10,10,4,66,857,791,0.923,2.67,1,1484,11,0.478,2,89,8.17,0,0,0,0
14,Robin Lehner,25,BUF,59,58,23,26,8,152,1910,1758,0.92,2.68,2,3405,32,0.552,6,92,13.29,0,1,1,6
15,Cam Ward,32,CAR,61,61,26,22,12,162,1711,1549,0.905,2.69,2,3618,30,0.492,9,109,-13.93,0,1,1,6
16,Alex Nedeljkovic,21,CAR,1,0,0,0,0,0,17,17,1,0,0,30,0,,0,,,0,0,0,2
17,Michael Leighton,35,CAR,4,3,2,2,0,12,92,80,0.87,3.43,0,210,1,0.333,1,,,0,1,1,0
18,Eddie Lack,29,CAR,20,18,8,7,3,48,492,444,0.902,2.64,1,1090,9,0.5,3,113,-5.42,0,0,0,0
19,Jorge Alves,38,CAR,1,0,0,0,0,0,0,0,,,0,0,0,,0,,,0,0,0,0
